,42_8
0,0
1,1
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,44
41,45
42,46
43,47
44,48
45,49
46,50
47,51
48,52
49,53
50,55
51,56
52,57
53,58
54,59
55,60
56,61
57,62
58,63
59,64
60,65
61,66
62,67
63,68
64,69
65,71
66,72
67,73
68,74
69,75
70,76
71,77
72,78
73,81
74,82
75,83
76,84
77,85
78,86
79,87
80,88
81,89
82,90
83,91
84,92
85,93
86,94
87,95
88,96
89,97
90,98
91,99
92,100
93,101
94,102
95,103
96,104
97,105
98,106
99,107
100,108
101,109
102,110
103,111
104,112
105,113
106,114
107,117
108,118
109,119
110,120
111,122
112,123
113,124
114,125
115,126
116,127
117,128
118,132
119,133
120,134
121,135
122,136
123,137
124,138
125,140
126,141
127,142
128,143
129,144
130,145
131,146
132,147
133,148
134,149
135,150
136,151
137,152
138,153
139,154
140,155
141,156
142,157
143,158
144,159
145,160
146,161
147,162
148,163
149,164
150,165
151,166
152,167
153,168
154,170
155,171
156,172
157,173
158,174
159,175
160,176
161,177
162,178
163,179
164,180
165,181
166,183
167,185
168,186
169,187
170,189
171,190
172,191
173,192
174,193
175,194
176,195
177,196
178,198
179,199
180,200
181,201
182,202
183,203
184,204
185,205
186,206
187,207
188,208
189,209
190,210
191,211
192,213
193,214
194,215
195,216
196,217
197,218
198,219
199,220
200,221
201,222
202,223
203,224
204,225
205,227
206,228
207,229
208,230
209,231
210,232
211,234
212,235
213,236
214,237
215,239
216,240
217,241
218,242
219,243
220,245
221,246
222,248
223,249
224,250
225,251
226,253
227,254
228,255
229,256
230,257
231,258
232,259
233,260
234,262
235,263
236,266
237,267
238,268
239,269
240,270
241,271
242,272
243,273
244,274
245,275
246,276
247,277
248,278
249,279
250,280
251,281
252,282
253,284
254,285
255,286
256,287
257,288
258,290
259,291
260,292
261,293
262,294
263,296
264,298
265,299
266,301
267,302
268,303
269,304
270,305
271,306
272,307
273,308
274,309
275,310
276,311
277,312
278,313
279,314
280,315
281,316
282,317
283,318
284,319
285,320
286,321
287,322
288,323
289,324
290,325
291,327
292,328
293,329
294,330
295,331
296,332
297,333
298,334
299,335
300,338
301,339
302,341
303,342
304,343
305,344
306,345
307,346
308,347
309,349
310,351
311,352
312,353
313,354
314,356
315,357
316,358
317,359
318,360
319,361
320,362
321,363
322,364
323,365
324,366
325,367
326,368
327,369
328,370
329,371
330,372
331,375
332,376
333,377
334,380
335,381
336,382
337,383
338,384
339,385
340,386
341,387
342,388
343,389
344,390
345,391
346,392
347,393
348,394
349,395
350,396
351,397
352,398
353,399
354,400
355,402
356,403
357,404
358,405
359,406
360,408
361,409
362,410
363,411
364,413
365,414
366,415
367,416
368,417
369,418
370,419
371,420
372,421
373,422
374,423
375,424
376,425
377,426
378,427
379,428
380,429
381,430
382,431
383,432
384,433
385,434
386,435
387,436
388,437
389,438
390,439
391,440
392,441
393,442
394,443
395,445
396,446
397,447
398,448
399,449
400,450
401,451
402,452
403,453
404,454
405,456
406,457
407,458
408,459
409,460
410,461
411,462
412,463
413,465
414,466
415,467
416,468
417,469
418,470
419,471
420,472
421,473
422,474
423,475
424,476
425,477
426,478
427,479
428,480
429,481
430,483
431,484
432,485
433,486
434,487
435,488
436,489
437,490
438,491
439,492
440,493
441,494
442,495
443,496
444,497
445,498
446,500
447,501
448,503
449,505
450,506
451,507
452,508
453,509
454,511
455,512
456,513
457,514
458,515
459,516
460,517
461,518
462,519
463,521
464,522
465,523
466,524
467,526
468,528
469,529
470,530
471,531
472,532
473,533
474,534
475,535
476,536
477,537
478,538
479,539
480,541
481,542
482,543
483,544
484,545
485,546
486,547
487,548
488,549
489,550
490,551
491,552
492,553
493,555
494,556
495,557
496,559
497,561
498,562
499,563
500,564
501,565
502,566
503,567
504,568
505,569
506,570
507,571
508,572
509,573
510,574
511,575
512,576
513,577
514,578
515,579
516,580
517,582
518,583
519,584
520,586
521,587
522,588
523,589
524,590
525,591
526,592
527,593
528,594
529,595
530,596
531,597
532,598
533,599
534,600
535,601
536,602
537,603
538,604
539,605
540,606
541,607
542,610
543,611
544,612
545,614
546,615
547,616
548,617
549,618
550,619
551,620
552,621
553,622
554,624
555,626
556,627
557,628
558,629
559,630
560,632
561,633
562,634
563,635
564,636
565,637
566,638
567,639
568,640
569,641
570,642
571,643
572,644
573,646
574,647
575,648
576,649
577,650
578,651
579,652
580,653
581,654
582,655
583,656
584,657
585,658
586,659
587,660
588,661
589,662
590,663
591,664
592,667
593,669
594,670
595,671
596,672
597,673
598,674
599,675
600,676
601,677
602,678
603,679
604,680
605,681
606,682
607,683
608,684
609,685
610,686
611,687
612,688
613,689
614,690
615,691
616,692
617,693
618,694
619,695
620,696
621,698
622,699
623,700
624,701
625,702
626,703
627,704
628,705
629,706
630,707
631,708
632,709
633,711
634,712
635,713
636,714
637,716
638,717
639,718
640,719
641,720
642,721
643,722
644,723
645,724
646,725
647,726
648,727
649,728
650,729
651,730
652,731
653,732
654,733
655,734
656,735
657,736
658,737
659,739
660,740
661,741
662,743
663,744
664,745
665,746
666,747
667,748
668,750
669,751
670,752
671,754
672,755
673,756
674,757
675,758
676,759
677,761
678,762
679,763
680,764
681,765
682,766
683,767
684,768
685,771
686,772
687,773
688,774
689,775
690,776
691,777
692,778
693,780
694,781
695,782
696,783
697,784
698,785
699,786
700,787
701,788
702,789
703,790
704,791
705,792
706,793
707,794
708,795
709,796
710,797
711,798
712,799
713,801
714,802
715,804
716,805
717,806
718,807
719,808
720,809
721,810
722,811
723,812
724,813
725,814
726,815
727,816
728,817
729,819
730,820
731,821
732,822
733,823
734,824
735,825
736,826
737,827
738,828
739,829
740,830
741,831
742,832
743,833
744,834
745,835
746,836
747,837
748,838
749,839
750,840
751,842
752,843
753,844
754,845
755,846
756,847
757,848
758,851
759,852
760,853
761,854
762,855
763,856
764,857
765,858
766,859
767,860
768,861
769,862
770,863
771,864
772,865
773,866
774,867
775,868
776,869
777,870
778,871
779,872
780,873
781,874
782,875
783,876
784,878
785,879
786,881
787,882
788,883
789,884
790,885
791,886
792,887
793,889
794,890
795,891
796,892
797,893
798,894
799,895
800,897
801,898
802,899
803,900
804,901
805,904
806,905
807,906
808,907
809,908
810,909
811,910
812,911
813,912
814,913
815,914
816,915
817,916
818,917
819,918
820,919
821,920
822,921
823,922
824,923
825,924
826,925
827,926
828,927
829,928
830,929
831,930
832,931
833,932
834,934
835,935
836,936
837,937
838,938
839,939
840,940
841,942
842,943
843,945
844,946
845,947
846,948
847,949
848,950
849,951
850,952
851,953
852,954
853,955
854,956
855,957
856,958
857,960
858,961
859,962
860,963
861,964
862,965
863,966
864,967
865,968
866,969
867,970
868,971
869,973
870,974
871,976
872,977
873,978
874,980
875,981
876,982
877,983
878,984
879,985
880,986
881,987
882,988
883,989
884,990
885,992
886,993
887,994
888,995
889,996
890,997
891,998
892,999
893,1000
894,1001
895,1002
896,1003
897,1005
898,1006
899,1007
900,1008
901,1009
902,1010
903,1011
904,1012
905,1014
906,1015
907,1016
908,1017
909,1018
910,1019
911,1020
912,1022
913,1023
914,1024
915,1025
916,1026
917,1027
918,1028
919,1030
920,1031
921,1032
922,1033
923,1035
924,1036
925,1037
926,1038
927,1039
928,1041
929,1042
930,1043
931,1044
932,1045
933,1046
934,1047
935,1048
936,1049
937,1050
938,1051
939,1052
940,1053
941,1054
942,1055
943,1056
944,1057
945,1058
946,1059
947,1060
948,1061
949,1062
950,1064
951,1065
952,1066
953,1067
954,1068
955,1069
956,1070
957,1071
958,1073
959,1074
960,1075
961,1077
962,1078
963,1080
964,1081
965,1082
966,1083
967,1084
968,1086
969,1087
970,1088
971,1089
972,1090
973,1091
974,1092
975,1093
976,1094
977,1096
978,1098
979,1099
980,1100
981,1101
982,1102
983,1104
984,1105
985,1106
986,1107
987,1108
988,1109
989,1110
990,1111
991,1112
992,1113
993,1114
994,1115
995,1116
996,1117
997,1118
998,1119
999,1120
1000,1121
1001,1122
1002,1123
1003,1124
1004,1125
1005,1126
1006,1127
1007,1128
1008,1130
1009,1131
1010,1132
1011,1133
1012,1135
1013,1136
1014,1137
1015,1138
1016,1139
1017,1140
1018,1141
1019,1142
1020,1143
1021,1144
1022,1145
1023,1146
1024,1147
1025,1148
1026,1149
1027,1150
1028,1152
1029,1153
1030,1154
1031,1155
1032,1156
