,2077_1
0,2
1,3
2,4
3,5
4,6
5,10
6,12
7,13
8,14
9,15
10,16
11,17
12,19
13,20
14,21
15,22
16,23
17,24
18,25
19,27
20,29
21,31
22,32
23,33
24,34
25,35
26,36
27,37
28,38
29,39
30,40
31,41
32,42
33,44
34,45
35,47
36,48
37,50
38,51
39,53
40,54
41,56
42,58
43,60
44,61
45,62
46,63
47,64
48,65
49,66
50,68
51,72
52,73
53,75
54,76
55,77
56,78
57,79
58,80
59,83
60,84
61,85
62,87
63,88
64,89
65,92
66,93
67,94
68,95
69,97
70,98
71,100
72,101
73,102
74,103
75,104
76,105
77,108
78,109
79,110
80,112
81,113
82,114
83,115
84,118
85,119
86,120
87,121
88,123
89,124
90,125
91,127
92,130
93,131
94,132
95,133
96,135
97,136
98,137
99,138
100,139
101,140
102,141
103,142
104,143
105,146
106,147
107,148
108,150
109,151
110,152
111,153
112,154
113,155
114,156
115,157
116,158
117,159
118,160
119,161
120,162
121,163
122,164
123,165
124,167
125,168
126,169
127,171
128,172
129,174
130,175
131,176
132,177
133,179
134,181
135,182
136,183
137,185
138,187
139,188
140,190
141,191
142,192
143,193
144,194
145,197
146,199
147,200
148,201
149,202
150,203
151,204
152,207
153,208
154,209
155,210
156,211
157,212
158,213
159,214
160,216
161,219
162,221
163,222
164,224
165,225
166,226
167,228
168,230
169,231
170,232
171,233
172,234
173,235
174,236
175,237
176,239
177,240
178,241
179,242
180,243
181,244
182,246
183,247
184,248
185,249
186,250
187,251
188,253
189,254
190,255
191,257
192,258
193,259
194,260
195,261
196,265
197,266
198,267
199,268
200,269
201,270
202,272
203,273
204,274
205,276
206,277
207,281
208,282
209,283
210,284
211,285
212,286
213,287
214,288
215,289
216,290
217,291
218,292
219,293
220,294
221,295
222,296
223,297
224,298
225,299
226,301
227,302
228,303
229,304
230,305
231,308
232,309
233,312
234,313
235,314
236,315
237,316
238,318
239,319
240,320
241,321
242,322
243,323
244,324
245,326
246,327
247,329
248,331
249,332
250,333
251,334
252,335
253,336
254,337
255,338
256,339
257,340
258,341
259,342
260,343
261,344
262,345
263,346
264,347
265,348
266,349
267,350
268,351
269,352
270,353
271,354
272,356
273,358
274,359
275,360
276,361
277,362
278,364
279,365
280,366
281,367
282,368
283,369
284,370
285,371
286,375
287,376
288,378
289,379
290,380
291,382
292,383
293,385
294,388
295,389
296,390
297,391
298,392
299,393
300,394
301,395
302,396
303,397
304,398
305,399
306,400
307,401
308,403
309,405
310,406
311,407
312,408
313,409
314,410
315,414
316,415
317,416
318,417
319,418
320,419
321,421
322,422
323,423
324,424
325,425
326,426
327,427
328,429
329,430
330,431
331,432
332,433
333,434
334,435
335,436
336,437
337,439
338,440
339,441
340,442
341,444
342,445
343,446
344,450
345,451
346,452
347,454
348,457
349,459
350,460
351,461
352,462
353,465
354,466
355,467
356,468
357,469
358,470
359,474
360,475
361,476
362,477
363,479
364,480
365,482
366,483
367,484
368,485
369,488
370,489
371,490
372,491
373,492
374,494
375,495
376,496
377,497
378,498
379,499
380,500
381,501
382,502
383,503
384,505
385,506
386,507
387,508
388,509
389,510
390,511
391,512
392,513
393,514
394,515
395,517
396,518
397,520
398,521
399,522
400,523
401,524
402,526
403,527
404,528
405,529
406,531
407,532
408,533
409,535
410,536
411,537
412,539
413,540
414,541
415,543
416,544
417,545
418,547
419,549
420,551
421,553
422,555
423,557
424,558
425,559
426,562
427,563
428,564
429,567
430,568
431,569
432,570
433,571
434,572
435,573
436,574
437,575
438,576
439,577
440,579
441,580
442,581
443,582
444,583
445,584
446,585
447,586
448,587
449,588
450,589
451,590
452,591
453,592
454,593
455,594
456,595
457,596
458,597
459,598
460,600
461,601
462,603
463,605
464,607
465,608
466,611
467,613
468,614
469,616
470,617
471,619
472,620
473,622
474,623
475,624
476,625
477,626
478,628
479,630
480,631
481,634
482,635
483,636
484,637
485,638
486,639
487,640
488,641
489,643
490,644
491,645
492,646
493,648
494,649
495,650
496,651
497,652
498,653
499,654
500,655
501,656
502,658
503,659
504,660
505,661
506,662
507,663
508,664
509,665
510,667
511,668
512,669
513,670
514,671
515,672
516,673
517,675
518,676
519,677
520,678
521,679
522,680
523,682
524,683
525,684
526,686
527,687
528,688
529,689
530,691
531,692
532,693
533,694
534,695
535,696
536,697
537,698
538,699
539,700
540,702
541,704
542,705
543,706
544,708
545,709
546,710
547,711
548,713
549,714
550,715
551,716
552,717
553,718
554,719
555,720
556,722
557,724
558,725
559,726
560,727
561,728
562,729
563,730
564,731
565,732
566,733
567,734
568,735
569,737
570,738
571,739
572,740
573,741
574,742
575,745
576,746
577,747
578,749
579,751
580,752
581,753
582,754
