,42_1
0,1
1,2
2,3
3,4
4,6
5,7
6,8
7,9
8,10
9,11
10,12
11,14
12,15
13,17
14,18
15,19
16,20
17,21
18,22
19,24
20,25
21,26
22,28
23,29
24,30
25,31
26,32
27,33
28,34
29,35
30,36
31,37
32,39
33,41
34,42
35,44
36,45
37,46
38,48
39,49
40,50
41,51
42,52
43,53
44,55
45,57
46,58
47,59
48,60
49,61
50,62
51,63
52,64
53,65
54,66
55,67
56,68
57,69
58,70
59,71
60,74
61,75
62,76
63,77
64,78
65,79
66,80
67,82
68,83
69,84
70,85
71,86
72,87
73,88
74,89
75,90
76,91
77,94
78,95
79,96
80,97
81,98
82,99
83,100
84,102
85,103
86,106
87,107
88,109
89,111
90,112
91,114
92,115
93,116
94,117
95,118
96,119
97,120
98,121
99,122
100,123
101,125
102,126
103,127
104,128
105,129
106,131
107,133
108,134
109,135
110,136
111,138
112,139
113,140
114,141
115,142
116,143
117,147
118,149
119,150
120,151
121,153
122,154
123,155
124,156
125,158
126,159
127,160
128,161
129,163
130,164
131,165
132,166
133,167
134,168
135,169
136,170
137,172
138,173
139,174
140,175
141,177
142,178
143,179
144,180
145,181
146,182
147,183
148,184
149,187
150,188
151,190
152,192
153,193
154,194
155,195
156,196
157,197
158,198
159,199
160,200
161,201
162,202
163,203
164,205
165,206
166,208
167,209
168,210
169,211
170,212
171,213
172,214
173,216
174,217
175,218
176,219
177,220
178,221
179,224
180,225
181,226
182,227
183,228
184,229
185,230
186,232
187,233
188,234
189,236
190,237
191,239
192,240
193,241
194,242
195,244
196,245
197,246
198,247
199,248
200,249
201,250
202,252
203,254
204,255
205,256
206,257
207,258
208,259
209,260
210,261
211,263
212,264
213,268
214,269
215,270
216,271
217,273
218,275
219,277
220,278
221,279
222,280
223,281
224,282
225,283
226,285
227,286
228,287
229,288
230,290
231,291
232,292
233,293
234,294
235,295
236,296
237,298
238,299
239,300
240,302
241,303
242,304
243,305
244,306
245,307
246,308
247,310
248,311
249,312
250,313
251,314
252,315
253,317
254,319
255,320
256,321
257,322
258,323
259,325
260,327
261,328
262,329
263,330
264,331
265,332
266,333
267,335
268,337
269,338
270,341
271,342
272,343
273,344
274,345
275,346
276,348
277,350
278,351
279,353
280,354
281,355
282,356
283,358
284,359
285,361
286,362
287,363
288,364
289,365
290,366
291,367
292,369
293,371
294,373
295,374
296,375
297,376
298,378
299,379
300,380
301,381
302,382
303,383
304,384
305,385
306,386
307,388
308,389
309,390
310,391
311,392
312,394
313,395
314,396
315,398
316,399
317,400
318,401
319,402
320,403
321,404
322,405
323,407
324,408
325,410
326,411
327,412
328,413
329,414
330,415
331,417
332,419
333,420
334,421
335,422
336,424
337,425
338,426
339,427
340,428
341,431
342,432
343,433
344,435
345,436
346,437
347,438
348,439
349,440
350,441
351,442
352,443
353,444
354,445
355,447
356,448
357,449
358,450
359,451
360,452
361,453
362,454
363,455
364,456
365,457
366,460
367,461
368,462
369,463
370,464
371,465
372,466
373,468
374,469
375,470
376,471
377,472
378,473
379,474
380,475
381,476
382,478
383,480
384,482
385,484
386,485
387,486
388,488
389,489
390,491
391,492
392,493
393,495
394,496
395,499
396,500
397,501
398,503
399,504
400,505
401,506
402,507
403,508
404,509
405,511
406,512
407,514
408,515
409,516
410,517
411,519
412,520
413,522
414,524
415,525
416,526
417,528
418,530
419,531
420,532
421,533
422,534
423,536
424,537
425,538
426,539
427,540
428,541
429,542
430,543
431,544
432,545
433,546
434,547
435,551
436,553
437,554
438,555
439,556
440,557
441,558
442,559
443,560
444,561
445,563
446,564
447,565
448,566
449,568
450,569
451,570
452,571
453,573
454,575
455,576
456,577
457,578
458,579
459,580
460,581
461,582
462,583
463,585
464,587
465,588
466,589
467,590
468,591
469,595
470,597
471,598
472,599
473,600
474,601
475,602
476,603
477,604
478,605
479,606
480,607
481,608
482,609
483,610
484,612
485,613
486,614
487,615
488,616
489,617
490,619
491,620
492,623
493,624
494,627
495,628
496,629
497,630
498,632
499,633
500,634
501,635
502,637
503,638
504,639
505,642
506,643
507,644
508,645
509,647
510,648
511,652
512,653
513,654
514,655
515,656
516,657
517,658
518,659
519,661
520,662
521,663
522,664
523,665
524,666
525,667
526,668
527,670
528,671
529,672
530,674
531,675
532,678
533,679
534,680
535,681
536,683
537,684
538,685
539,686
540,687
541,688
542,689
543,690
544,691
545,692
546,693
547,694
548,695
549,696
550,697
551,698
552,699
553,700
554,701
555,702
556,703
557,706
558,709
559,710
560,711
561,713
562,714
563,715
564,716
565,717
566,718
567,719
568,722
569,723
570,724
571,725
572,726
573,727
574,728
575,730
576,731
577,732
578,733
579,734
580,735
581,737
582,738
583,739
584,740
585,741
586,742
587,743
588,744
589,745
590,746
591,747
592,749
593,750
594,751
595,752
596,753
597,755
598,756
599,757
600,759
601,760
602,762
603,763
604,764
605,765
606,766
607,767
608,768
609,769
610,770
611,771
612,772
613,773
614,774
615,775
616,777
617,778
618,779
619,780
620,781
621,783
622,784
623,785
624,786
625,788
626,789
627,790
628,791
629,792
630,793
631,794
632,795
633,799
634,801
635,802
636,803
637,804
638,807
639,808
640,809
641,810
642,812
643,814
644,815
645,816
646,818
647,819
648,820
649,821
650,822
651,823
652,824
653,826
654,827
655,828
656,829
657,830
658,831
659,833
660,834
661,835
662,837
663,838
664,839
665,840
666,842
667,843
668,844
669,845
670,846
671,847
672,848
673,849
674,850
675,852
676,853
677,854
678,855
679,856
680,857
681,859
682,860
683,861
684,863
685,864
686,865
687,866
688,868
689,869
690,870
691,871
692,872
693,873
694,874
695,875
696,876
697,877
698,880
699,883
700,884
701,885
702,886
703,888
704,889
705,891
706,893
707,894
708,895
709,896
710,897
711,898
712,899
713,900
714,901
715,902
716,903
717,904
718,905
719,906
720,907
721,908
722,910
723,912
724,913
725,914
726,916
727,917
728,918
729,922
730,924
731,927
732,928
733,929
734,931
735,932
736,933
737,934
738,935
739,936
740,937
741,939
742,941
743,942
744,944
745,945
746,946
747,949
748,951
749,953
750,954
751,955
752,958
753,959
754,960
755,961
756,964
757,965
758,966
759,967
760,968
761,969
762,970
763,971
764,972
765,973
766,974
767,975
768,976
769,977
770,978
771,979
772,981
773,982
774,983
775,984
776,987
777,988
778,989
779,990
780,991
781,992
782,993
783,995
784,996
785,997
786,998
787,1000
788,1001
789,1002
790,1003
791,1004
792,1006
793,1007
794,1008
795,1009
796,1010
797,1011
798,1012
799,1013
800,1014
801,1015
802,1016
803,1017
804,1018
805,1019
806,1021
807,1022
808,1023
809,1025
810,1029
811,1030
812,1031
813,1032
814,1033
815,1034
816,1035
817,1036
818,1037
819,1040
820,1042
821,1043
822,1044
823,1046
824,1047
825,1048
826,1049
827,1050
828,1051
829,1053
830,1055
831,1056
832,1057
833,1058
834,1059
835,1060
836,1061
837,1062
838,1063
839,1064
840,1065
841,1066
842,1067
843,1069
844,1070
845,1071
846,1072
847,1073
848,1074
849,1075
850,1078
851,1079
852,1080
853,1082
854,1083
855,1084
856,1086
857,1087
858,1089
859,1091
860,1093
861,1094
862,1095
863,1096
864,1097
865,1098
866,1099
867,1100
868,1101
869,1104
870,1105
871,1107
872,1108
873,1110
874,1111
875,1112
876,1113
877,1114
878,1117
879,1118
880,1120
881,1123
882,1124
883,1125
884,1127
885,1128
886,1129
887,1130
888,1132
889,1133
890,1135
891,1136
892,1137
893,1138
894,1139
895,1140
896,1141
897,1143
898,1144
899,1145
900,1147
901,1148
902,1150
903,1151
904,1152
905,1153
906,1155
907,1157
908,1158
909,1159
910,1160
911,1161
912,1164
913,1166
914,1167
915,1168
916,1169
917,1170
918,1171
919,1172
920,1173
921,1174
922,1175
923,1176
924,1177
925,1178
926,1179
927,1180
