,42_1
0,0
1,1
2,2
3,4
4,5
5,6
6,8
7,9
8,10
9,11
10,13
11,14
12,16
13,17
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,28
23,29
24,31
25,32
26,34
27,36
28,37
29,38
30,39
31,40
32,42
33,43
34,45
35,46
36,47
37,48
38,49
39,50
40,51
41,52
42,54
43,55
44,56
45,57
46,58
47,59
48,60
49,61
50,62
51,64
52,66
53,67
54,68
55,69
56,70
57,71
58,73
59,74
60,75
61,76
62,77
63,80
64,81
65,82
66,83
67,86
68,87
69,88
70,89
71,90
72,91
73,93
74,94
75,95
76,97
77,98
78,99
79,100
80,101
81,102
82,103
83,104
84,107
85,109
86,110
87,111
88,112
89,113
90,114
91,115
92,116
93,117
94,118
95,119
96,121
97,122
98,123
99,124
100,126
101,127
102,128
103,129
104,130
105,133
106,134
107,135
108,136
109,137
110,138
111,139
112,141
113,142
114,143
115,144
116,145
117,146
118,147
119,149
120,150
121,151
122,153
123,156
124,157
125,159
126,160
127,161
128,162
129,163
130,164
131,165
132,166
133,169
134,170
135,171
136,172
137,173
138,174
139,175
140,176
141,178
142,179
143,180
144,181
145,182
146,183
147,184
148,187
149,188
150,189
151,190
152,192
153,193
154,194
155,196
156,197
157,198
158,199
159,200
160,201
161,202
162,203
163,204
164,205
165,207
166,208
167,209
168,210
169,212
170,213
171,214
172,216
173,217
174,218
175,219
176,220
177,221
178,222
179,225
180,226
181,227
182,228
183,229
184,230
185,231
186,232
187,233
188,234
189,235
190,237
191,238
192,239
193,240
194,241
195,242
196,243
197,244
198,248
199,249
200,250
201,251
202,253
203,254
204,255
205,256
206,258
207,259
208,260
209,261
210,263
211,264
212,265
213,266
214,267
215,269
216,270
217,271
218,272
219,273
220,275
221,277
222,278
223,279
224,281
225,283
226,284
227,285
228,286
229,287
230,288
231,289
232,290
233,291
234,292
235,293
236,295
237,297
238,299
239,300
240,301
241,302
242,303
243,304
244,305
245,306
246,308
247,310
248,311
249,312
250,313
251,314
252,315
253,317
254,318
255,320
256,321
257,322
258,323
259,325
260,326
261,327
262,328
263,330
264,331
265,332
266,333
267,334
268,335
269,336
270,338
271,339
272,340
273,342
274,343
275,344
276,345
277,347
278,348
279,349
280,350
281,351
282,352
283,353
284,354
285,356
286,357
287,358
288,359
289,361
290,365
291,366
292,367
293,368
294,369
295,370
296,372
297,373
298,374
299,376
300,377
301,378
302,379
303,380
304,381
305,383
306,384
307,385
308,386
309,388
310,389
311,390
312,391
313,392
314,393
315,394
316,395
317,396
318,399
319,400
320,401
321,403
322,404
323,405
324,406
325,407
326,408
327,409
328,410
329,411
330,413
331,415
332,416
333,418
334,419
335,420
336,421
337,422
338,423
339,425
340,426
341,427
342,428
343,430
344,431
345,432
346,433
347,434
348,435
349,436
350,438
351,440
352,441
353,442
354,444
355,445
356,446
357,447
358,449
359,450
360,451
361,452
362,454
363,455
364,456
365,457
366,458
367,459
368,461
369,462
370,463
371,464
372,465
373,467
374,469
375,470
376,471
377,473
378,474
379,476
380,477
381,478
382,480
383,481
384,482
385,483
386,484
387,485
388,488
389,489
390,490
391,491
392,492
393,493
394,494
395,495
396,496
397,497
398,498
399,500
400,501
401,502
402,504
403,505
404,506
405,508
406,509
407,510
408,512
409,513
410,515
411,517
412,518
413,519
414,520
415,523
416,524
417,525
418,526
419,527
420,528
421,529
422,530
423,531
424,532
425,533
426,534
427,535
428,536
429,537
430,538
431,539
432,541
433,542
434,544
435,545
436,546
437,547
438,548
439,549
440,550
441,551
442,553
443,555
444,556
445,557
446,558
447,559
448,561
449,562
450,563
451,564
452,565
453,567
454,568
455,569
456,570
457,572
458,574
459,575
460,576
461,577
462,578
463,579
464,580
465,581
466,583
467,585
468,586
469,587
470,588
471,589
472,591
473,592
474,593
475,594
476,595
477,596
478,597
479,598
480,599
481,602
482,603
483,604
484,605
485,606
486,607
487,608
488,609
489,611
490,613
491,614
492,615
493,617
494,618
495,619
496,620
497,621
498,624
499,625
500,626
501,627
502,628
503,629
504,630
505,632
506,633
507,635
508,636
509,637
510,639
511,640
512,641
513,642
514,643
515,645
516,646
517,648
518,650
519,651
520,652
521,653
522,654
523,655
524,656
525,657
526,658
527,659
528,660
529,663
530,664
531,666
532,669
533,670
534,671
535,672
536,673
537,674
538,675
539,676
540,677
541,678
542,679
543,680
544,681
545,682
546,683
547,684
548,685
549,687
550,689
551,690
552,691
553,692
554,693
555,694
556,695
557,696
558,697
559,699
560,700
561,701
562,703
563,704
564,706
565,707
566,708
567,709
568,710
569,711
570,712
571,715
572,716
573,717
574,718
575,720
576,721
577,722
578,723
579,724
580,725
581,726
582,727
583,731
584,732
585,733
586,734
587,735
588,736
589,737
590,738
591,739
592,740
593,743
594,744
595,745
596,746
597,747
598,748
599,751
600,752
601,753
602,754
603,755
604,756
605,757
606,758
607,760
608,761
609,762
610,763
611,764
612,765
613,766
614,767
615,769
616,771
617,772
618,773
619,774
620,775
621,776
622,778
623,779
624,780
625,781
626,784
627,785
628,786
629,787
630,788
631,789
632,790
633,791
634,793
635,794
636,795
637,796
638,797
639,799
640,800
641,802
642,803
643,804
644,806
645,807
646,808
647,809
648,810
649,811
650,812
651,815
652,817
653,818
654,819
655,821
656,822
657,823
658,824
659,825
660,826
661,827
662,829
663,830
664,831
665,832
666,834
667,836
668,837
669,838
670,840
671,842
672,843
673,844
674,845
675,846
676,847
677,848
678,849
679,850
680,851
681,852
682,853
683,855
684,856
685,857
686,859
687,860
688,862
689,863
690,864
691,865
692,866
693,867
694,868
695,869
696,870
697,871
698,872
699,873
700,874
701,875
702,876
703,878
704,879
705,881
706,882
707,883
708,884
709,885
710,886
711,887
712,888
713,889
714,890
715,893
716,894
717,895
718,896
719,897
720,898
721,899
722,900
723,902
724,903
725,906
726,907
727,908
728,910
729,911
730,912
731,913
732,914
733,915
734,917
735,920
736,922
737,924
738,925
739,926
740,927
741,928
742,929
743,930
744,931
745,933
746,934
747,935
748,936
749,937
750,938
751,939
752,940
753,941
754,942
755,944
756,945
757,946
758,947
759,948
760,951
761,952
762,954
763,955
764,956
765,957
766,958
767,959
768,960
769,962
770,963
771,964
772,966
773,967
774,968
775,969
776,970
777,971
778,972
779,973
780,975
781,976
782,977
783,978
784,979
785,982
786,983
787,984
788,985
789,986
790,988
791,989
792,990
793,991
794,993
795,994
796,995
797,996
798,998
799,999
800,1000
801,1001
802,1003
803,1004
804,1005
805,1006
806,1007
807,1008
808,1010
809,1011
810,1012
811,1013
812,1014
813,1016
814,1017
815,1019
816,1021
817,1022
818,1023
819,1024
820,1026
821,1027
822,1028
823,1029
824,1030
825,1031
826,1032
827,1035
828,1037
829,1038
830,1039
831,1040
832,1041
833,1042
834,1043
835,1045
836,1046
837,1047
838,1048
839,1049
840,1051
841,1052
842,1053
843,1054
844,1055
845,1057
846,1058
847,1060
848,1061
849,1062
850,1063
851,1064
852,1065
853,1066
854,1067
855,1069
856,1070
857,1071
858,1072
859,1073
860,1074
861,1075
862,1076
863,1077
864,1078
865,1079
866,1080
867,1081
868,1083
869,1088
870,1089
871,1090
872,1091
873,1092
874,1093
875,1095
876,1096
877,1097
878,1098
879,1099
880,1100
881,1101
882,1103
883,1104
884,1105
885,1106
886,1107
887,1108
888,1109
889,1110
890,1112
891,1113
892,1114
893,1116
894,1117
895,1118
896,1120
897,1121
898,1122
899,1123
900,1125
901,1127
902,1128
903,1129
904,1131
905,1132
906,1133
907,1134
908,1135
909,1136
910,1137
911,1139
912,1140
913,1141
914,1142
915,1143
916,1144
917,1145
918,1146
919,1147
920,1149
921,1151
922,1153
923,1154
924,1155
925,1156
926,1157
927,1160
928,1162
929,1163
930,1164
931,1165
932,1166
933,1167
934,1168
935,1171
936,1172
937,1174
938,1175
939,1176
940,1177
941,1178
942,1179
943,1180
944,1182
945,1183
946,1184
947,1185
948,1186
949,1187
950,1189
951,1191
952,1192
953,1193
954,1194
955,1195
956,1196
957,1197
958,1198
959,1199
960,1201
961,1202
962,1203
963,1204
964,1205
965,1206
966,1207
967,1208
968,1210
969,1211
970,1212
971,1213
972,1215
973,1216
974,1218
975,1219
976,1222
977,1225
978,1226
979,1227
980,1228
981,1229
982,1230
983,1231
984,1232
985,1233
986,1234
987,1235
988,1236
989,1237
990,1239
991,1240
992,1241
993,1242
994,1243
995,1244
996,1246
997,1249
998,1250
999,1251
1000,1252
1001,1253
1002,1254
1003,1255
1004,1256
1005,1257
1006,1258
1007,1259
1008,1260
1009,1263
1010,1264
1011,1265
1012,1266
1013,1267
1014,1268
1015,1269
1016,1271
