,42_6
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,28
28,29
29,30
30,31
31,32
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,47
46,48
47,49
48,50
49,52
50,53
51,54
52,55
53,56
54,57
55,58
56,59
57,60
58,61
59,62
60,63
61,64
62,65
63,66
64,67
65,68
66,69
67,70
68,71
69,72
70,73
71,74
72,75
73,76
74,77
75,78
76,79
77,80
78,81
79,83
80,84
81,85
82,86
83,89
84,90
85,91
86,92
87,93
88,94
89,95
90,96
91,97
92,98
93,99
94,101
95,102
96,103
97,104
98,105
99,106
100,107
101,108
102,109
103,111
104,112
105,113
106,114
107,115
108,116
109,117
110,118
111,119
112,120
113,121
114,122
115,124
116,125
117,126
118,127
119,128
120,129
121,130
122,131
123,132
124,133
125,134
126,135
127,136
128,137
129,138
130,139
131,140
132,141
133,143
134,144
135,146
136,147
137,148
138,149
139,151
140,153
141,154
142,155
143,156
144,157
145,158
146,159
147,160
148,162
149,163
150,164
151,165
152,166
153,167
154,168
155,169
156,170
157,171
158,172
159,173
160,174
161,176
162,177
163,178
164,179
165,180
166,181
167,182
168,183
169,184
170,186
171,187
172,188
173,189
174,190
175,191
176,192
177,194
178,195
179,196
180,197
181,198
182,199
183,200
184,201
185,203
186,204
187,205
188,206
189,207
190,208
191,210
192,211
193,212
194,213
195,214
196,215
197,216
198,217
199,218
200,219
201,220
202,221
203,222
204,223
205,224
206,225
207,226
208,229
209,230
210,231
211,232
212,233
213,234
214,235
215,236
216,237
217,238
218,239
219,240
220,241
221,242
222,243
223,244
224,245
225,246
226,247
227,248
228,249
229,250
230,251
231,252
232,253
233,254
234,255
235,256
236,257
237,258
238,259
239,260
240,261
241,262
242,263
243,264
244,265
245,266
246,267
247,269
248,270
249,271
250,272
251,273
252,275
253,276
254,277
255,278
256,279
257,280
258,281
259,282
260,283
261,284
262,285
263,286
264,287
265,288
266,289
267,290
268,291
269,292
270,293
271,294
272,295
273,296
274,297
275,298
276,299
277,300
278,301
279,302
280,303
281,304
282,306
283,307
284,308
285,309
286,310
287,311
288,312
289,314
290,315
291,316
292,318
293,319
294,320
295,321
296,323
297,324
298,325
299,326
300,328
301,329
302,330
303,331
304,332
305,333
306,334
307,335
308,337
309,338
310,339
311,340
312,341
313,343
314,344
315,345
316,346
317,348
318,349
319,350
320,352
321,353
322,354
323,355
324,356
325,357
326,358
327,359
328,360
329,361
330,362
331,363
332,364
333,365
334,366
335,367
336,368
337,369
338,370
339,371
340,372
341,373
342,375
343,376
344,377
345,378
346,379
347,380
348,381
349,382
350,383
351,384
352,385
353,386
354,387
355,388
356,389
357,390
358,391
359,392
360,393
361,394
362,395
363,397
364,399
365,400
366,401
367,402
368,403
369,404
370,405
371,406
372,407
373,408
374,409
375,410
376,411
377,412
378,413
379,414
380,415
381,416
382,417
383,418
384,419
385,420
386,422
387,423
388,424
389,425
390,426
391,427
392,428
393,429
394,431
395,432
396,433
397,434
398,436
399,437
400,438
401,439
402,440
403,441
404,442
405,443
406,444
407,445
408,446
409,447
410,448
411,449
412,450
413,452
414,454
415,455
416,457
417,458
418,459
419,460
420,461
421,462
422,463
423,464
424,465
425,466
426,467
427,468
428,469
429,470
430,471
431,473
432,474
433,475
434,476
435,477
436,478
437,479
438,480
439,481
440,482
441,483
442,484
443,485
444,486
445,487
446,490
447,491
448,492
449,493
450,494
451,495
452,496
453,497
454,498
455,499
456,500
457,501
458,502
459,503
460,504
461,505
462,506
463,508
464,509
465,510
466,511
467,512
468,513
469,514
470,515
471,516
472,517
473,519
474,520
475,521
476,523
477,524
478,525
479,526
480,527
481,528
482,529
483,530
484,532
485,533
486,535
487,536
488,537
489,538
490,539
491,540
492,541
493,542
494,543
495,544
496,545
497,546
498,547
499,548
500,549
501,550
502,551
503,552
504,553
505,554
506,555
507,556
508,557
509,558
510,559
511,560
512,561
513,562
514,563
515,564
516,565
517,566
518,568
519,569
520,570
521,571
522,572
523,573
524,574
525,575
526,576
527,577
528,578
529,579
530,580
531,581
532,582
533,583
534,584
535,585
536,586
537,588
538,590
539,591
540,592
541,593
542,594
543,595
544,596
545,597
546,598
547,599
548,601
549,602
550,603
551,604
552,606
553,607
554,608
555,609
556,610
557,611
558,612
559,613
560,614
561,615
562,616
563,617
564,618
565,619
566,620
567,621
568,622
569,623
570,624
571,625
572,626
573,627
574,628
575,630
576,631
577,632
578,633
579,634
580,635
581,637
582,638
583,639
584,640
585,641
586,642
587,643
588,644
589,646
590,647
591,648
592,649
593,650
594,651
595,652
596,653
597,654
598,655
599,656
600,657
601,658
602,659
603,661
604,662
605,663
606,664
607,665
608,666
609,667
610,668
611,669
612,670
613,671
614,672
615,673
616,674
617,675
618,676
619,677
620,678
621,679
622,680
623,681
624,682
625,683
626,684
627,685
628,686
629,688
630,689
631,690
632,691
633,693
634,694
635,695
636,696
637,698
638,699
639,700
640,701
641,702
642,703
643,704
644,705
645,706
646,707
647,708
648,709
649,710
650,711
651,712
652,713
653,714
654,715
655,716
656,717
657,718
658,719
659,720
660,721
661,722
662,723
663,724
664,725
665,727
666,728
667,729
668,730
669,731
670,732
671,733
672,734
673,735
674,736
675,737
676,738
677,739
678,740
679,741
680,742
681,743
682,744
683,745
684,746
685,747
686,748
687,749
688,750
689,751
690,752
691,753
692,754
693,756
694,757
695,758
696,760
697,761
698,762
699,763
700,764
701,765
702,766
703,768
704,769
705,770
706,771
707,772
708,774
709,775
710,776
711,777
712,778
713,779
714,780
715,781
716,782
717,783
718,784
719,785
720,786
721,787
722,788
723,789
724,790
725,791
726,792
727,793
728,794
729,795
730,796
731,797
732,798
733,799
734,800
735,801
736,802
737,803
738,804
739,805
740,807
741,808
742,809
743,810
744,811
745,812
746,813
747,815
748,816
749,817
750,818
751,819
752,820
753,821
754,822
755,823
756,824
757,825
758,826
759,827
760,828
761,829
762,830
763,831
764,832
765,833
766,834
767,835
768,836
769,837
770,838
771,839
772,840
773,841
774,842
775,843
776,844
777,846
778,847
779,848
780,849
781,850
782,851
783,852
784,853
785,854
786,855
787,856
788,857
789,858
790,859
791,860
792,861
793,862
794,864
795,866
796,867
797,868
798,869
799,870
800,871
801,872
802,873
803,874
804,875
805,876
806,877
807,878
808,879
809,880
810,881
811,882
812,883
813,884
814,885
815,886
816,887
817,891
818,892
819,893
820,894
821,895
822,896
823,897
824,898
825,899
826,900
827,901
828,902
829,903
830,904
831,905
832,907
833,908
834,909
835,910
836,911
837,912
838,913
839,914
840,915
841,916
842,917
843,918
844,919
845,920
846,921
847,922
848,923
849,924
850,926
851,927
852,928
853,929
854,930
855,931
856,932
857,934
858,935
859,936
860,937
861,938
862,939
863,940
864,941
865,942
866,943
867,944
868,946
869,947
870,948
871,949
872,950
873,951
874,952
875,953
876,954
877,955
878,958
879,959
880,961
881,962
882,964
883,965
884,966
885,967
886,968
887,969
888,970
889,971
890,972
891,973
892,974
893,975
894,976
895,977
896,978
897,979
898,980
899,981
900,982
901,983
902,984
903,985
904,986
905,987
906,988
907,989
908,990
909,991
910,992
911,993
912,995
913,996
914,997
915,998
916,999
917,1000
918,1001
919,1002
920,1003
921,1004
922,1005
923,1006
924,1007
925,1008
926,1009
927,1011
928,1012
929,1015
930,1017
931,1018
932,1019
933,1020
934,1021
935,1022
936,1023
937,1024
938,1025
939,1026
940,1027
941,1028
942,1029
943,1030
944,1031
945,1032
946,1033
947,1034
948,1035
949,1036
950,1037
951,1038
952,1039
953,1040
954,1041
955,1042
956,1043
957,1044
958,1045
959,1046
960,1047
961,1048
962,1049
963,1050
964,1051
965,1052
966,1053
967,1054
968,1055
969,1056
970,1057
971,1058
972,1062
973,1063
974,1064
975,1065
976,1066
977,1067
978,1068
979,1069
980,1070
981,1071
982,1072
983,1073
984,1074
985,1075
986,1076
987,1077
988,1079
989,1080
990,1081
991,1082
992,1083
993,1084
994,1085
995,1087
996,1088
997,1089
998,1090
999,1092
1000,1093
1001,1094
1002,1095
1003,1096
1004,1097
1005,1098
1006,1099
1007,1100
1008,1101
1009,1102
1010,1104
1011,1105
1012,1106
1013,1107
1014,1108
1015,1109
1016,1110
1017,1111
1018,1112
1019,1113
1020,1114
1021,1115
1022,1116
1023,1117
1024,1118
1025,1119
1026,1120
1027,1121
1028,1122
1029,1123
1030,1124
1031,1125
1032,1126
1033,1127
1034,1128
1035,1129
1036,1130
