,42_9
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,12
12,13
13,14
14,15
15,16
16,17
17,19
18,20
19,21
20,23
21,24
22,25
23,26
24,27
25,28
26,29
27,30
28,31
29,32
30,33
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
39,42
40,43
41,46
42,47
43,48
44,49
45,50
46,51
47,53
48,54
49,55
50,56
51,57
52,58
53,59
54,60
55,62
56,63
57,64
58,66
59,67
60,68
61,69
62,70
63,71
64,72
65,73
66,74
67,75
68,76
69,77
70,78
71,79
72,80
73,82
74,83
75,84
76,85
77,86
78,87
79,88
80,90
81,91
82,92
83,93
84,94
85,95
86,96
87,97
88,98
89,99
90,100
91,101
92,102
93,103
94,104
95,105
96,106
97,107
98,108
99,109
100,110
101,111
102,112
103,114
104,115
105,116
106,117
107,118
108,119
109,121
110,122
111,124
112,125
113,126
114,127
115,128
116,129
117,130
118,131
119,132
120,133
121,134
122,135
123,137
124,138
125,139
126,140
127,141
128,142
129,143
130,144
131,145
132,146
133,147
134,148
135,149
136,150
137,151
138,152
139,153
140,154
141,155
142,156
143,157
144,158
145,159
146,160
147,161
148,162
149,163
150,164
151,165
152,167
153,168
154,169
155,170
156,171
157,172
158,173
159,174
160,175
161,176
162,177
163,178
164,179
165,180
166,181
167,182
168,183
169,184
170,185
171,186
172,187
173,188
174,189
175,190
176,191
177,193
178,194
179,195
180,196
181,197
182,198
183,199
184,201
185,202
186,203
187,204
188,205
189,206
190,208
191,209
192,210
193,211
194,212
195,213
196,215
197,217
198,218
199,219
200,220
201,221
202,222
203,223
204,224
205,225
206,226
207,227
208,228
209,229
210,230
211,231
212,232
213,233
214,234
215,235
216,236
217,237
218,238
219,239
220,243
221,244
222,246
223,247
224,248
225,249
226,250
227,251
228,252
229,253
230,254
231,255
232,256
233,257
234,258
235,259
236,261
237,262
238,263
239,264
240,265
241,266
242,267
243,268
244,269
245,270
246,271
247,274
248,275
249,277
250,278
251,279
252,281
253,282
254,283
255,284
256,285
257,286
258,289
259,290
260,291
261,292
262,294
263,295
264,296
265,297
266,298
267,299
268,300
269,301
270,302
271,303
272,304
273,306
274,307
275,308
276,309
277,310
278,311
279,312
280,313
281,314
282,315
283,316
284,317
285,318
286,319
287,320
288,321
289,322
290,323
291,324
292,325
293,326
294,327
295,328
296,329
297,330
298,331
299,332
300,333
301,334
302,335
303,336
304,337
305,338
306,339
307,340
308,341
309,342
310,343
311,344
312,345
313,347
314,348
315,349
316,350
317,351
318,352
319,353
320,354
321,355
322,356
323,357
324,358
325,359
326,360
327,361
328,362
329,363
330,364
331,365
332,366
333,367
334,369
335,370
336,372
337,373
338,374
339,375
340,376
341,377
342,378
343,379
344,380
345,381
346,382
347,383
348,384
349,385
350,386
351,387
352,389
353,391
354,392
355,393
356,394
357,395
358,396
359,397
360,398
361,399
362,400
363,401
364,403
365,404
366,405
367,406
368,407
369,408
370,409
371,410
372,411
373,412
374,413
375,415
376,416
377,417
378,418
379,419
380,420
381,421
382,422
383,423
384,424
385,425
386,426
387,427
388,428
389,429
390,430
391,432
392,433
393,435
394,436
395,437
396,438
397,439
398,440
399,441
400,442
401,443
402,444
403,445
404,446
405,447
406,449
407,450
408,452
409,453
410,454
411,455
412,456
413,458
414,459
415,461
416,462
417,463
418,464
419,465
420,466
421,467
422,468
423,469
424,470
425,471
426,473
427,474
428,475
429,477
430,478
431,479
432,480
433,481
434,482
435,483
436,484
437,485
438,486
439,487
440,488
441,489
442,490
443,491
444,492
445,493
446,494
447,495
448,496
449,497
450,499
451,500
452,501
453,502
454,503
455,504
456,505
457,506
458,507
459,508
460,509
461,510
462,512
463,513
464,514
465,515
466,516
467,517
468,518
469,519
470,520
471,522
472,523
473,524
474,525
475,526
476,527
477,528
478,529
479,530
480,531
481,532
482,533
483,534
484,535
485,536
486,537
487,538
488,539
489,540
490,541
491,542
492,543
493,544
494,545
495,546
496,547
497,548
498,549
499,550
500,551
501,552
502,553
503,554
504,555
505,556
506,557
507,558
508,559
509,560
510,562
511,564
512,567
513,568
514,570
515,571
516,572
517,573
518,574
519,575
520,576
521,577
522,578
523,579
524,580
525,581
526,582
527,583
528,584
529,585
530,586
531,587
532,588
533,589
534,590
535,591
536,592
537,593
538,594
539,595
540,596
541,597
542,598
543,599
544,600
545,601
546,602
547,603
548,606
549,607
550,608
551,609
552,610
553,611
554,612
555,613
556,614
557,615
558,617
559,618
560,619
561,620
562,621
563,622
564,623
565,624
566,625
567,626
568,627
569,628
570,629
571,630
572,631
573,632
574,633
575,634
576,635
577,636
578,637
579,638
580,639
581,640
582,641
583,643
584,644
585,645
586,646
587,647
588,648
589,649
590,650
591,651
592,652
593,653
594,654
595,655
596,657
597,658
598,659
599,660
600,661
601,662
602,663
603,664
604,665
605,666
606,667
607,668
608,669
609,670
610,671
611,672
612,673
613,674
614,675
615,677
616,678
617,679
618,681
619,683
620,686
621,687
622,688
623,689
624,690
625,693
626,694
627,695
628,696
629,697
630,698
631,699
632,700
633,701
634,702
635,703
636,704
637,705
638,706
639,707
640,709
641,710
642,711
643,712
644,713
645,714
646,715
647,716
648,717
649,718
650,720
651,721
652,722
653,723
654,724
655,725
656,726
657,727
658,728
659,729
660,730
661,731
662,732
663,733
664,734
665,735
666,737
667,738
668,739
669,740
670,741
671,742
672,743
673,744
674,745
675,746
676,747
677,749
678,750
679,751
680,752
681,753
682,754
683,755
684,756
685,757
686,759
687,760
688,761
689,762
690,763
691,764
692,765
693,766
694,767
695,768
696,769
697,770
698,771
699,772
700,773
701,774
702,775
703,776
704,777
705,779
706,780
707,781
708,783
709,784
710,785
711,786
712,788
713,789
714,790
715,792
716,795
717,796
718,797
719,798
720,799
721,800
722,801
723,802
724,803
725,804
726,807
727,808
728,809
729,810
730,811
731,812
732,813
733,814
734,815
735,816
736,817
737,818
738,819
739,820
740,822
741,823
742,824
743,825
744,826
745,827
746,828
747,830
748,831
749,832
750,833
751,834
752,835
753,836
754,837
755,838
756,839
757,840
758,841
759,842
760,843
761,845
762,846
763,847
764,848
765,849
766,850
767,851
768,852
769,853
770,854
771,855
772,856
773,857
774,859
775,860
776,861
777,862
778,863
779,864
780,865
781,866
782,867
783,868
784,869
785,870
786,871
787,872
788,873
789,874
790,875
791,876
792,877
793,878
794,879
795,880
796,881
797,882
798,883
799,884
800,886
801,887
802,888
803,889
804,890
805,891
806,892
807,893
808,894
809,895
810,896
811,897
812,898
813,901
814,902
815,903
816,904
817,906
818,907
819,908
820,909
821,910
822,911
823,912
824,914
825,915
826,916
827,917
828,918
829,919
830,920
831,921
832,922
833,923
834,924
835,925
836,927
837,928
838,930
839,931
840,932
841,933
842,935
843,936
844,937
845,938
846,939
847,940
848,941
849,942
850,943
851,944
852,945
853,946
854,947
855,948
856,949
857,950
858,951
859,952
860,953
861,954
862,955
863,957
864,958
865,959
866,960
867,961
868,962
869,963
870,965
871,966
872,967
873,968
874,969
875,970
876,971
877,972
878,973
879,974
880,975
881,976
882,977
883,978
884,979
885,980
886,981
887,982
888,983
889,984
890,985
891,986
892,987
893,988
894,989
895,990
896,991
897,993
898,994
899,995
900,996
901,998
902,1000
903,1001
904,1002
905,1003
906,1004
907,1005
908,1006
909,1008
910,1009
911,1010
912,1012
913,1013
914,1014
915,1015
916,1016
917,1017
918,1018
919,1020
920,1021
921,1022
922,1023
923,1024
924,1025
925,1027
926,1028
927,1029
928,1030
929,1033
930,1034
931,1035
932,1036
933,1037
934,1038
935,1039
936,1040
937,1041
938,1042
939,1043
940,1044
941,1045
942,1046
943,1047
944,1048
945,1050
946,1051
947,1052
948,1053
949,1054
950,1055
951,1056
952,1057
953,1058
954,1059
955,1060
956,1061
957,1062
958,1063
959,1064
960,1066
961,1067
962,1068
963,1069
964,1070
965,1071
966,1072
967,1073
968,1074
969,1076
970,1077
971,1078
972,1079
973,1080
974,1081
975,1082
976,1083
977,1084
978,1085
979,1087
980,1088
981,1089
982,1090
983,1091
984,1092
985,1093
986,1094
987,1095
988,1096
989,1097
990,1098
991,1099
992,1100
993,1101
994,1102
995,1103
996,1104
997,1105
998,1106
999,1107
1000,1109
1001,1110
1002,1112
1003,1113
1004,1114
1005,1115
1006,1116
1007,1117
1008,1118
1009,1119
1010,1120
1011,1121
1012,1122
1013,1123
1014,1125
1015,1126
1016,1127
1017,1128
1018,1129
1019,1130
1020,1131
1021,1132
1022,1134
1023,1135
1024,1136
1025,1137
1026,1138
1027,1139
1028,1140
1029,1141
1030,1143
1031,1144
1032,1145
1033,1146
