,2077_5
0,0
1,1
2,3
3,4
4,5
5,6
6,7
7,9
8,10
9,11
10,12
11,14
12,15
13,16
14,17
15,18
16,19
17,20
18,21
19,22
20,24
21,25
22,26
23,27
24,28
25,29
26,30
27,33
28,34
29,35
30,37
31,38
32,39
33,40
34,41
35,42
36,44
37,45
38,46
39,48
40,49
41,50
42,51
43,52
44,53
45,54
46,55
47,57
48,58
49,59
50,60
51,61
52,62
53,63
54,65
55,67
56,68
57,69
58,70
59,71
60,72
61,73
62,74
63,75
64,76
65,77
66,78
67,79
68,80
69,81
70,82
71,84
72,85
73,86
74,87
75,88
76,89
77,90
78,91
79,92
80,93
81,94
82,95
83,96
84,97
85,98
86,99
87,100
88,103
89,104
90,105
91,108
92,109
93,110
94,111
95,112
96,113
97,114
98,115
99,116
100,117
101,118
102,119
103,121
104,122
105,123
106,124
107,125
108,126
109,127
110,128
111,129
112,131
113,132
114,133
115,134
116,135
117,136
118,137
119,139
120,140
121,141
122,142
123,143
124,144
125,145
126,146
127,147
128,148
129,149
130,152
131,153
132,154
133,156
134,157
135,158
136,159
137,160
138,162
139,164
140,165
141,166
142,169
143,170
144,172
145,173
146,174
147,175
148,176
149,178
150,179
151,180
152,181
153,183
154,184
155,185
156,186
157,188
158,189
159,191
160,192
161,193
162,194
163,195
164,197
165,198
166,199
167,202
168,203
169,204
170,205
171,206
172,207
173,208
174,210
175,211
176,212
177,213
178,215
179,218
180,219
181,220
182,221
183,222
184,223
185,224
186,226
187,227
188,228
189,229
190,230
191,231
192,232
193,234
194,235
195,236
196,237
197,238
198,239
199,240
200,241
201,242
202,243
203,244
204,246
205,247
206,248
207,249
208,251
209,252
210,253
211,254
212,256
213,257
214,258
215,259
216,260
217,262
218,264
219,265
220,266
221,268
222,269
223,270
224,272
225,273
226,275
227,276
228,279
229,280
230,282
231,283
232,284
233,285
234,289
235,290
236,291
237,293
238,294
239,295
240,296
241,298
242,300
243,302
244,303
245,305
246,307
247,308
248,309
249,311
250,313
251,314
252,315
253,316
254,317
255,319
256,320
257,321
258,322
259,323
260,324
261,325
262,326
263,327
264,328
265,330
266,331
267,332
268,333
269,334
270,335
271,337
272,340
273,342
274,344
275,345
276,347
277,348
278,350
279,351
280,352
281,353
282,354
283,355
284,356
285,358
286,359
287,360
288,361
289,362
290,363
291,364
292,365
293,366
294,367
295,369
296,370
297,371
298,372
299,373
300,375
301,376
302,377
303,378
304,380
305,381
306,382
307,383
308,384
309,385
310,386
311,388
312,391
313,392
314,393
315,394
316,396
317,398
318,399
319,400
320,401
321,402
322,403
323,404
324,405
325,406
326,408
327,409
328,411
329,412
330,413
331,414
332,415
333,416
334,417
335,419
336,420
337,421
338,422
339,423
340,424
341,425
342,427
343,428
344,429
345,430
346,431
347,432
348,433
349,434
350,435
351,437
352,438
353,439
354,440
355,441
356,442
357,443
358,444
359,445
360,447
361,448
362,451
363,452
364,453
365,454
366,455
367,456
368,457
369,459
370,460
371,461
372,462
373,464
374,465
375,466
376,467
377,468
378,469
379,470
380,471
381,472
382,473
383,474
384,475
385,476
386,477
387,478
388,481
389,483
390,484
391,485
392,486
393,487
394,488
395,489
396,490
397,491
398,493
399,494
400,495
401,496
402,497
403,498
404,499
405,500
406,501
407,502
408,503
409,504
410,505
411,506
412,507
413,509
414,510
415,511
416,512
417,513
418,514
419,515
420,516
421,517
422,518
423,519
424,520
425,521
426,522
427,523
428,524
429,525
430,526
431,527
432,529
433,530
434,531
435,532
436,533
437,534
438,535
439,536
440,538
441,539
442,540
443,541
444,542
445,543
446,545
447,546
448,547
449,548
450,549
451,550
452,551
453,552
454,554
455,555
456,556
457,557
458,558
459,559
460,560
461,561
462,562
463,563
464,564
465,567
466,568
467,569
468,570
469,571
470,572
471,573
472,574
473,575
474,576
475,577
476,579
477,580
478,581
479,582
480,583
481,585
482,586
483,588
484,589
485,590
486,594
487,595
488,596
489,599
490,600
491,602
492,603
493,605
494,606
495,607
496,608
497,610
498,611
499,612
500,613
501,614
502,615
503,616
504,617
505,618
506,619
507,620
508,621
509,622
510,623
511,624
512,625
513,626
514,628
515,629
516,630
517,631
518,633
519,634
520,636
521,637
522,638
523,639
524,641
525,642
526,643
527,644
528,645
529,646
530,647
531,648
532,649
533,651
534,652
535,653
536,654
537,655
538,656
539,658
540,659
541,660
542,661
543,663
544,665
545,667
546,668
547,669
548,671
549,674
550,675
551,678
552,679
553,680
554,682
555,683
556,684
557,686
558,687
559,688
560,689
561,691
562,692
563,693
564,694
565,695
566,696
567,697
568,699
569,700
570,701
571,702
572,703
573,704
574,705
575,706
576,707
577,708
578,709
579,710
580,711
581,712
582,713
583,714
584,715
585,716
586,718
587,719
588,720
589,721
590,722
591,723
592,724
593,725
594,726
595,728
596,729
597,730
598,731
599,733
600,734
601,735
602,737
603,739
604,740
605,741
606,742
607,743
608,744
609,745
610,747
611,748
612,749
613,750
614,751
615,752
616,754
617,755
618,756
619,757
620,758
621,760
622,761
623,762
624,763
625,764
626,765
627,766
628,767
629,768
630,769
631,770
632,771
633,772
634,773
635,774
636,775
637,776
638,778
639,779
640,780
641,781
642,782
643,783
644,784
645,785
646,786
647,787
648,789
649,790
650,791
651,792
652,793
653,795
654,796
655,797
656,798
657,799
658,800
659,801
660,802
661,803
662,804
663,805
664,806
665,807
666,809
667,810
668,812
669,813
670,814
671,816
672,817
673,821
674,822
675,823
676,824
677,825
678,826
679,827
680,828
681,829
682,831
683,832
684,833
685,834
686,836
687,837
688,838
689,839
690,840
691,841
692,842
693,843
694,844
695,845
696,846
697,847
698,848
699,849
700,850
701,852
702,853
703,854
704,855
705,856
706,857
707,858
708,859
709,860
710,862
711,863
712,864
713,865
714,866
715,867
716,868
717,870
718,872
719,874
720,875
721,876
722,877
723,878
724,879
725,880
726,881
727,882
728,883
729,884
730,885
731,886
732,887
733,888
734,889
735,890
736,891
737,893
738,894
739,895
740,896
741,897
742,898
743,899
744,900
745,901
746,902
747,905
748,906
749,907
750,908
751,909
752,910
753,912
754,913
755,914
756,916
757,918
758,919
759,920
760,921
761,922
762,923
763,925
764,926
765,927
766,928
767,929
768,931
769,932
770,933
771,935
772,936
773,938
774,939
775,940
776,941
777,942
778,943
779,944
780,945
781,946
782,947
783,948
784,949
785,950
786,951
787,952
788,953
789,954
790,955
791,956
792,957
793,958
794,959
795,960
796,962
797,963
798,964
799,965
800,966
801,967
802,968
803,969
804,970
805,971
806,972
807,973
808,974
809,975
810,978
811,980
812,981
813,982
814,983
815,984
816,985
817,986
818,987
819,988
820,989
821,990
822,991
823,992
824,993
825,994
826,995
827,997
828,999
829,1002
830,1003
831,1004
832,1006
833,1007
834,1010
835,1011
836,1012
837,1013
838,1014
839,1016
840,1017
841,1018
842,1019
843,1020
844,1021
845,1022
846,1024
847,1025
848,1026
849,1027
850,1028
851,1030
852,1032
853,1035
854,1036
855,1037
856,1038
857,1039
858,1040
859,1041
860,1042
861,1043
862,1044
863,1045
864,1046
865,1047
866,1048
867,1049
868,1052
869,1053
870,1054
871,1055
872,1058
873,1059
874,1060
875,1062
876,1063
877,1064
878,1065
879,1066
880,1069
881,1071
882,1072
883,1073
884,1074
885,1075
886,1076
887,1077
888,1078
889,1079
890,1080
891,1081
892,1082
893,1084
894,1085
895,1086
896,1088
897,1090
898,1091
899,1093
900,1094
901,1096
902,1097
903,1098
904,1099
905,1100
906,1101
907,1102
908,1103
909,1104
910,1105
911,1106
912,1107
913,1108
914,1109
915,1110
916,1111
917,1112
918,1113
919,1114
920,1116
921,1117
922,1118
923,1119
924,1121
925,1125
926,1126
927,1128
928,1129
929,1130
930,1131
931,1132
932,1133
933,1134
934,1135
935,1136
936,1139
937,1140
938,1141
939,1142
940,1144
941,1145
942,1146
943,1147
944,1148
945,1149
946,1151
947,1152
948,1153
949,1154
950,1157
951,1159
952,1160
953,1161
954,1162
955,1165
956,1167
957,1168
958,1169
959,1170
960,1171
961,1172
962,1173
963,1174
964,1175
965,1176
966,1177
967,1178
968,1179
969,1180
970,1181
971,1182
972,1183
973,1184
974,1185
975,1186
976,1189
977,1191
978,1192
979,1193
980,1196
981,1197
982,1198
983,1199
984,1200
985,1203
986,1204
987,1205
988,1206
989,1207
990,1209
991,1210
992,1212
993,1213
994,1214
995,1215
996,1216
997,1217
998,1218
999,1219
1000,1220
1001,1221
1002,1222
1003,1223
1004,1224
1005,1226
1006,1227
1007,1228
1008,1231
1009,1233
1010,1234
1011,1236
1012,1237
1013,1238
1014,1239
1015,1241
1016,1242
1017,1243
1018,1244
1019,1245
1020,1246
1021,1247
