MGnify_accession,Count
MGYG-HGUT-00002,50
MGYG-HGUT-01938,50
MGYG-HGUT-01770,50
MGYG-HGUT-01820,50
MGYG-HGUT-01830,50
MGYG-HGUT-01831,50
MGYG-HGUT-01835,50
MGYG-HGUT-01848,50
MGYG-HGUT-01855,50
MGYG-HGUT-01866,50
MGYG-HGUT-01887,50
MGYG-HGUT-01901,50
MGYG-HGUT-01919,50
MGYG-HGUT-01946,50
MGYG-HGUT-02108,50
MGYG-HGUT-01959,50
MGYG-HGUT-01963,50
MGYG-HGUT-02001,50
MGYG-HGUT-02007,50
MGYG-HGUT-02021,50
MGYG-HGUT-00003,50
MGYG-HGUT-02040,50
MGYG-HGUT-02057,50
MGYG-HGUT-02060,50
MGYG-HGUT-02072,50
MGYG-HGUT-02082,50
MGYG-HGUT-01769,50
MGYG-HGUT-01763,50
MGYG-HGUT-01757,50
MGYG-HGUT-01756,50
MGYG-HGUT-01493,50
MGYG-HGUT-01494,50
MGYG-HGUT-01500,50
MGYG-HGUT-01522,50
MGYG-HGUT-01531,50
MGYG-HGUT-01551,50
MGYG-HGUT-01556,50
MGYG-HGUT-01565,50
MGYG-HGUT-01627,50
MGYG-HGUT-01633,50
MGYG-HGUT-01637,50
MGYG-HGUT-01647,50
MGYG-HGUT-01677,50
MGYG-HGUT-01687,50
MGYG-HGUT-01694,50
MGYG-HGUT-01695,50
MGYG-HGUT-01704,50
MGYG-HGUT-01707,50
MGYG-HGUT-01711,50
MGYG-HGUT-01714,50
MGYG-HGUT-01737,50
MGYG-HGUT-01745,50
MGYG-HGUT-01747,50
MGYG-HGUT-02101,50
MGYG-HGUT-02113,50
MGYG-HGUT-00773,50
MGYG-HGUT-02349,50
MGYG-HGUT-02311,50
MGYG-HGUT-02319,50
MGYG-HGUT-02320,50
MGYG-HGUT-02321,50
MGYG-HGUT-02324,50
MGYG-HGUT-02327,50
MGYG-HGUT-02330,50
MGYG-HGUT-02331,50
MGYG-HGUT-02336,50
MGYG-HGUT-02337,50
MGYG-HGUT-02344,50
MGYG-HGUT-02350,50
MGYG-HGUT-02121,50
MGYG-HGUT-02351,50
MGYG-HGUT-02353,50
MGYG-HGUT-02366,50
MGYG-HGUT-02369,50
MGYG-HGUT-02371,50
MGYG-HGUT-02372,50
MGYG-HGUT-02378,50
MGYG-HGUT-02386,50
MGYG-HGUT-02387,50
MGYG-HGUT-02388,50
MGYG-HGUT-02394,50
MGYG-HGUT-02303,50
MGYG-HGUT-02298,50
MGYG-HGUT-02297,50
MGYG-HGUT-02295,50
MGYG-HGUT-02133,50
MGYG-HGUT-02143,50
MGYG-HGUT-02144,50
MGYG-HGUT-02152,50
MGYG-HGUT-02155,50
MGYG-HGUT-02163,50
MGYG-HGUT-02166,50
MGYG-HGUT-02175,50
MGYG-HGUT-02191,50
MGYG-HGUT-02218,50
MGYG-HGUT-02224,50
MGYG-HGUT-02242,50
MGYG-HGUT-02272,50
MGYG-HGUT-02274,50
MGYG-HGUT-02279,50
MGYG-HGUT-02281,50
MGYG-HGUT-02284,50
MGYG-HGUT-02285,50
MGYG-HGUT-02286,50
MGYG-HGUT-02287,50
MGYG-HGUT-02289,50
MGYG-HGUT-02292,50
MGYG-HGUT-02293,50
MGYG-HGUT-01490,50
MGYG-HGUT-01489,50
MGYG-HGUT-01456,50
MGYG-HGUT-01168,50
MGYG-HGUT-01097,50
MGYG-HGUT-01110,50
MGYG-HGUT-01112,50
MGYG-HGUT-01120,50
MGYG-HGUT-01129,50
MGYG-HGUT-01132,50
MGYG-HGUT-01136,50
MGYG-HGUT-01151,50
MGYG-HGUT-01157,50
MGYG-HGUT-01160,50
MGYG-HGUT-01164,50
MGYG-HGUT-01184,50
MGYG-HGUT-01455,50
MGYG-HGUT-01186,50
MGYG-HGUT-01188,50
MGYG-HGUT-01225,50
MGYG-HGUT-01230,50
MGYG-HGUT-01244,50
MGYG-HGUT-01246,50
MGYG-HGUT-01255,50
MGYG-HGUT-01256,50
MGYG-HGUT-01289,50
MGYG-HGUT-01292,50
MGYG-HGUT-01293,50
MGYG-HGUT-01092,50
MGYG-HGUT-01085,50
MGYG-HGUT-01068,50
MGYG-HGUT-01065,50
MGYG-HGUT-00784,50
MGYG-HGUT-00810,50
MGYG-HGUT-00836,50
MGYG-HGUT-00839,50
MGYG-HGUT-00870,50
MGYG-HGUT-00877,50
MGYG-HGUT-00884,50
MGYG-HGUT-00901,50
MGYG-HGUT-00909,50
MGYG-HGUT-00929,50
MGYG-HGUT-00933,50
MGYG-HGUT-00941,50
MGYG-HGUT-00968,50
MGYG-HGUT-00980,50
MGYG-HGUT-00982,50
MGYG-HGUT-00993,50
MGYG-HGUT-01002,50
MGYG-HGUT-01021,50
MGYG-HGUT-01029,50
MGYG-HGUT-01034,50
MGYG-HGUT-01057,50
MGYG-HGUT-01058,50
MGYG-HGUT-01060,50
MGYG-HGUT-01294,50
MGYG-HGUT-01297,50
MGYG-HGUT-01300,50
MGYG-HGUT-01372,50
MGYG-HGUT-01375,50
MGYG-HGUT-01378,50
MGYG-HGUT-01380,50
MGYG-HGUT-01382,50
MGYG-HGUT-01385,50
MGYG-HGUT-01386,50
MGYG-HGUT-01387,50
MGYG-HGUT-01391,50
MGYG-HGUT-01396,50
MGYG-HGUT-01397,50
MGYG-HGUT-01398,50
MGYG-HGUT-01399,50
MGYG-HGUT-01400,50
MGYG-HGUT-01402,50
MGYG-HGUT-01410,50
MGYG-HGUT-01415,50
MGYG-HGUT-01429,50
MGYG-HGUT-01431,50
MGYG-HGUT-01433,50
MGYG-HGUT-01439,50
MGYG-HGUT-01440,50
MGYG-HGUT-01444,50
MGYG-HGUT-01446,50
MGYG-HGUT-01374,50
MGYG-HGUT-01367,50
MGYG-HGUT-01302,50
MGYG-HGUT-01365,50
MGYG-HGUT-01303,50
MGYG-HGUT-01306,50
MGYG-HGUT-01308,50
MGYG-HGUT-01310,50
MGYG-HGUT-01313,50
MGYG-HGUT-01314,50
MGYG-HGUT-01315,50
MGYG-HGUT-01316,50
MGYG-HGUT-01319,50
MGYG-HGUT-01321,50
MGYG-HGUT-01327,50
MGYG-HGUT-01334,50
MGYG-HGUT-01336,50
MGYG-HGUT-01337,50
MGYG-HGUT-01338,50
MGYG-HGUT-01345,50
MGYG-HGUT-01346,50
MGYG-HGUT-01349,50
MGYG-HGUT-01354,50
MGYG-HGUT-01359,50
MGYG-HGUT-01361,50
MGYG-HGUT-01362,50
MGYG-HGUT-01364,50
MGYG-HGUT-02395,50
MGYG-HGUT-02396,50
MGYG-HGUT-02397,50
MGYG-HGUT-04130,50
MGYG-HGUT-04014,50
MGYG-HGUT-04016,50
MGYG-HGUT-04041,50
MGYG-HGUT-04052,50
MGYG-HGUT-04059,50
MGYG-HGUT-04083,50
MGYG-HGUT-04086,50
MGYG-HGUT-04099,50
MGYG-HGUT-04111,50
MGYG-HGUT-04114,50
MGYG-HGUT-04117,50
